State,Total Winter All Loss (%),Beekeepers,Beekeepers Exclusive to State (%),Colonies,Colonies Exclusive to State (%),Year
Maine,57,89,92.1,13945,3.4,2009-2010
Indiana,57.1,85,95.3,4141,18.3,2009-2010
Massachusetts,63.2,193,96.9,11361,12.6,2009-2010
Illinois,73,49,87.8,958,27.1,2009-2010
Iowa,73.3,56,94.6,1141,55.7,2009-2010
Idaho,5.8,27,81.5,9325,1,2010-2011
Hawaii,7.8,42,100,5392,100,2010-2011
Oregon,9.5,178,92.1,19611,5.9,2010-2011
Alabama,11.4,34,97.1,476,97.9,2010-2011
New Mexico,11.7,24,95.8,185,98.9,2010-2011
Kansas,14.5,21,95.2,401,98,2010-2011
Oklahoma,16.5,31,93.5,628,98.1,2010-2011
Wyoming,18.6,8,87.5,3481,99.9,2010-2011
Montana,20.4,26,73.1,41933,0.3,2010-2011
Tennessee,22.3,90,94.4,691,83.4,2010-2011
Washington,23.4,150,94.7,23991,5.9,2010-2011
North Dakota,24.6,21,38.1,131159,0.4,2010-2011
North Carolina,24.7,615,96.4,7423,75.6,2010-2011
Louisiana,25.1,17,94.1,3411,17.3,2010-2011
MultiStateOperation,25.3,127,0,222437,0,2010-2011
Texas,25.8,76,84.2,112874,1.4,2010-2011
Mississippi,26.5,16,68.8,96053,0.1,2010-2011
Vermont,26.7,119,95.8,1551,94.3,2010-2011
Nevada,26.9,6,66.7,3775,0.7,2010-2011
California,27.2,327,82.9,248736,12.7,2010-2011
Missouri,28.6,161,100,2350,100,2010-2011
New Jersey,28.7,110,90,2113,29.5,2010-2011
Nebraska,29.3,16,81.3,79194,1,2010-2011
Utah,29.5,117,98.3,4779,49.6,2010-2011
Arkansas,30.2,43,95.3,297,96,2010-2011
Kentucky,30.6,55,98.2,931,96.8,2010-2011
Virginia,31.2,406,95.8,4145,58.6,2010-2011
Arizona,31.4,7,100,41,100,2010-2011
New Hampshire,31.4,84,97.6,890,98.7,2010-2011
South Dakota,31.7,18,77.8,78217,0.1,2010-2011
Minnesota,32,54,83.3,101255,9.7,2010-2011
Michigan,32.2,278,98.2,21212,22.2,2010-2011
Massachusetts,34.7,219,95.4,13550,16.9,2010-2011
South Carolina,39,82,89,2757,21.3,2010-2011
Florida,40.3,133,93.2,28065,7.3,2010-2011
Ohio,42.6,242,99.6,1577,99.9,2010-2011
Illinois,45,136,97.8,1045,95.5,2010-2011
Maine,45.9,106,95.3,14614,4.4,2010-2011
Indiana,46.1,152,100,1205,100,2010-2011
Connecticut,46.6,102,95.1,884,56.8,2010-2011
Rhode Island,48.7,66,95.5,214,94.4,2010-2011
Maryland,49.5,172,97.7,1456,94.6,2010-2011
Colorado,53.4,137,97.1,1744,53.6,2010-2011
West Virginia,54.5,56,91.1,559,85.5,2010-2011
New York,58.5,217,92.2,7912,26.6,2010-2011
Delaware,58.8,15,93.3,61,86.9,2010-2011
Georgia,63.9,143,93.7,6006,22.1,2010-2011
Iowa,66,28,96.4,729,99.7,2010-2011
Wisconsin,66.3,126,96,2904,96.9,2010-2011
Pennsylvania,67,430,98.4,7150,52.7,2010-2011
Hawaii,5.5,29,100,9903,100,2011-2012
Montana,7.4,33,81.8,22862,5.3,2011-2012
Alabama,7.8,40,95,539,98.5,2011-2012
Louisiana,9.7,23,100,2514,100,2011-2012
Wyoming,10.7,6,100,3372,100,2011-2012
Indiana,10.9,88,96.6,2168,36.6,2011-2012
Idaho,11.5,42,90.5,12203,56.7,2011-2012
Missouri,11.7,97,97.9,1454,86.7,2011-2012
Rhode Island,12.9,31,96.8,152,98,2011-2012
Oregon,13,144,91.7,36105,19.8,2011-2012
Utah,13.4,85,97.7,4962,9.8,2011-2012
South Dakota,15.1,7,71.4,28448,0.2,2011-2012
Tennessee,16.4,102,95.1,1246,84,2011-2012
Michigan,17.6,237,98.3,9293,38.2,2011-2012
North Dakota,17.8,12,16.7,60837,3.5,2011-2012
Washington,18,130,93.1,45444,5.9,2011-2012
Vermont,18.1,89,95.5,1923,40,2011-2012
Virginia,18.4,533,98.3,3343,98,2011-2012
New Jersey,18.6,72,87.5,5195,10.7,2011-2012
South Carolina,18.9,86,95.3,5926,13.4,2011-2012
Oklahoma,19.3,28,100,158,100,2011-2012
Wisconsin,19.4,138,96.4,1594,89.3,2011-2012
Massachusetts,19.4,221,96.4,12212,16.6,2011-2012
New Hampshire,19.5,63,92.1,857,83.5,2011-2012
Arkansas,21.4,41,97.6,383,83.8,2011-2012
Kansas,22.6,23,91.3,534,46.6,2011-2012
California,23.1,301,85.4,245111,20.1,2011-2012
Nebraska,23.4,9,88.9,9038,0.4,2011-2012
Connecticut,23.7,60,91.7,682,73,2011-2012
District of Columbia,23.8,11,90.9,3062,94.2,2011-2012
Arizona,24.5,8,75,447,48.3,2011-2012
MultiStateOperation,24.5,117,0,211884,0,2011-2012
Florida,24.6,106,90.6,35153,31.8,2011-2012
Maine,25.8,139,95,20812,4.7,2011-2012
Ohio,26.5,231,98.3,4714,69.6,2011-2012
Maryland,26.6,335,97.9,2187,72,2011-2012
North Carolina,26.7,431,97.9,3917,82,2011-2012
Nevada,28.1,18,77.8,1660,4,2011-2012
New York,28.9,191,92.7,14102,16.5,2011-2012
Kentucky,30.5,46,97.8,705,92.9,2011-2012
Minnesota,31,63,98.4,757,98,2011-2012
West Virginia,31.3,51,88.2,826,38.1,2011-2012
Colorado,31.5,129,98.5,1227,78,2011-2012
Texas,32.4,48,91.7,78694,0.6,2011-2012
Mississippi,34.2,13,84.6,72290,0.1,2011-2012
New Mexico,36.2,14,100,214,100,2011-2012
Pennsylvania,37.7,703,97,11357,42.8,2011-2012
Georgia,40.1,148,93.9,10446,14.5,2011-2012
Iowa,40.4,39,97.4,1525,76.7,2011-2012
Illinois,41.9,93,97.8,1085,66.9,2011-2012
Delaware,47.8,29,89.7,420,48.8,2011-2012
Hawaii,11,61,98.4,12900,96.5,2012-2013
Arizona,12.6,13,92.3,2069,2.2,2012-2013
Arkansas,13.9,56,98.2,1988,96.2,2012-2013
Oklahoma,14.1,37,94.6,3389,8.9,2012-2013
South Carolina,15.5,97,97.9,4097,22.8,2012-2013
Alabama,15.8,50,94,2667,93.1,2012-2013
Delaware,17.1,33,87.9,10010,3,2012-2013
New Jersey,17.1,87,92,24746,2.6,2012-2013
Montana,17.4,46,63,63014,1.7,2012-2013
Louisiana,18.4,22,100,2264,100,2012-2013
Ohio,18.6,281,99.3,11989,33.1,2012-2013
Idaho,20.8,41,56.1,66660,2.6,2012-2013
Maine,21.1,177,96.6,47851,2.6,2012-2013
Maryland,21.2,271,96.3,11840,15.5,2012-2013
Michigan,21.6,313,97.8,23519,16.6,2012-2013
Massachusetts,21.9,245,98,17896,10.5,2012-2013
Washington,22.7,178,93.3,69593,2.1,2012-2013
Virginia,22.9,699,97.8,14752,33.2,2012-2013
Missouri,22.9,104,97.1,1596,72.1,2012-2013
Wisconsin,23.3,184,94.6,20854,26.8,2012-2013
Indiana,24.5,173,97.1,4030,44.3,2012-2013
Florida,24.7,136,82.3,49702,11.4,2012-2013
North Dakota,25.9,39,10.3,220230,0,2012-2013
New York,26.5,270,93,46196,13.7,2012-2013
Oregon,26.5,194,93.3,37938,23.5,2012-2013
Vermont,27.1,76,93.4,4152,58.7,2012-2013
Illinois,27.9,202,98,5281,28.7,2012-2013
Pennsylvania,27.9,565,97,25443,22,2012-2013
California,28.1,292,67.8,490737,15.8,2012-2013
Iowa,28.8,63,93.7,6535,39.3,2012-2013
MultiStateOperation,28.9,197,0,451785,0,2012-2013
Kansas,30.3,51,86.3,2329,19,2012-2013
Nevada,32.2,11,63.6,6720,0.3,2012-2013
New Mexico,33.1,27,92.6,128,89.8,2012-2013
Kentucky,33.3,67,95.5,749,92.3,2012-2013
North Carolina,34.1,415,96.6,5181,82.6,2012-2013
Rhode Island,34.7,28,78.6,205,60,2012-2013
New Hampshire,35.1,96,99,898,87.3,2012-2013
Texas,36.5,77,77.9,80014,0.9,2012-2013
Wyoming,37.5,21,61.9,16355,1.2,2012-2013
Mississippi,37.6,41,87.8,89705,1.8,2012-2013
Nebraska,37.9,23,73.9,77173,0.4,2012-2013
Minnesota,38.7,117,86.3,53734,25.5,2012-2013
South Dakota,39,8,62.5,77790,3.4,2012-2013
Utah,40.8,80,90,12897,5.5,2012-2013
Tennessee,43.1,94,94.7,1280,69.2,2012-2013
Georgia,43.3,117,88.9,9483,10.3,2012-2013
West Virginia,45.4,86,94.2,2562,31,2012-2013
Colorado,47.3,314,97.8,1694,88.6,2012-2013
Connecticut,52.4,78,92.3,1009,71.2,2012-2013
District of Columbia,54.7,14,78.6,300,10.3,2012-2013
Alabama,11.2,38,94.7,345,74.5,2013-2014
Wyoming,12.1,11,36.4,20661,0.1,2013-2014
Montana,12.9,28,75,28378,0.4,2013-2014
Hawaii,13.2,75,98.7,13511,48.2,2013-2014
Idaho,13.4,41,61,96469,8.4,2013-2014
Louisiana,16,22,95.5,9276,24.5,2013-2014
Arkansas,16.1,74,94.6,8676,7.8,2013-2014
Utah,16.3,61,83.6,9250,2.6,2013-2014
Oregon,17,222,92.8,50691,10.1,2013-2014
Colorado,17.8,224,97.8,68982,1.2,2013-2014
Nebraska,17.9,15,80,79237,0.1,2013-2014
North Carolina,18,292,94.5,71168,2.9,2013-2014
Texas,18.9,82,76.8,125685,1.9,2013-2014
South Dakota,19.9,17,52.9,80228,0,2013-2014
Wisconsin,19.9,183,89.1,36244,5.9,2013-2014
Tennessee,20.4,102,95.1,1066,81.6,2013-2014
California,20.6,293,67.9,392531,8.9,2013-2014
Florida,20.6,166,81.9,51693,7.1,2013-2014
MultiStateOperation,20.7,209,0,386373,0,2013-2014
Mississippi,21,23,65.2,85643,0.3,2013-2014
Minnesota,21.3,140,90,97604,2.6,2013-2014
New Jersey,22.7,197,95.9,14714,9,2013-2014
New Mexico,24.4,23,100,116,100,2013-2014
North Dakota,24.7,31,3.2,150882,0,2013-2014
Delaware,25.1,28,78.6,10160,0.7,2013-2014
Massachusetts,25.4,196,95.4,10490,18.2,2013-2014
Washington,25.9,161,90.1,74378,1.7,2013-2014
Georgia,25.9,107,87.8,12352,12.4,2013-2014
Maryland,26.7,192,93.2,11871,13.4,2013-2014
Maine,26.9,166,96.4,29096,3.6,2013-2014
Virginia,27,796,98.2,15726,35.1,2013-2014
South Carolina,28.4,155,96.1,2313,57.6,2013-2014
New York,30.4,211,94.3,20607,18.3,2013-2014
Michigan,30.6,460,97,24523,19.7,2013-2014
Ohio,31.5,486,97.9,13724,25.2,2013-2014
Pennsylvania,31.5,1081,98.2,23126,31,2013-2014
Nevada,32.2,12,83.3,625,12,2013-2014
Rhode Island,32.9,24,70.8,205,38,2013-2014
Indiana,33.1,216,96.8,3713,49,2013-2014
Missouri,34.4,97,96.9,1396,83.4,2013-2014
Arizona,34.5,6,83.3,362,98.3,2013-2014
Kentucky,36.9,112,96.4,1500,73,2013-2014
Alaska,38.1,5,100,21,100,2013-2014
Connecticut,39.5,77,90.9,816,68.3,2013-2014
Oklahoma,39.8,34,91.2,6551,3.7,2013-2014
West Virginia,41.8,75,92,1125,67.9,2013-2014
Vermont,42.4,104,96.2,1696,95.9,2013-2014
Kansas,44,43,95.3,575,64.5,2013-2014
Iowa,50.2,61,96.7,1257,83.2,2013-2014
New Hampshire,53.1,74,96,529,62.4,2013-2014
Illinois,60.5,159,96.2,2438,47.5,2013-2014
District of Columbia,70.7,8,62.5,192,9.9,2013-2014
Nevada,5.2,8,62.5,1147,2.5,2014-2015
Hawaii,8.9,34,97.1,10165,99.1,2014-2015
Oregon,14.7,177,94.9,38036,33.9,2014-2015
Idaho,15.6,62,77.4,74921,0.3,2014-2015
South Dakota,16.3,16,50,76136,0,2014-2015
Colorado,16.8,214,97.7,63126,1.6,2014-2015
Indiana,16.9,138,97.1,3770,25.2,2014-2015
Nebraska,17.3,15,80,72610,0.1,2014-2015
Wyoming,17.3,12,66.7,14282,0.2,2014-2015
Utah,17.3,47,85.1,16677,1.3,2014-2015
North Dakota,18.2,34,11.8,199777,0,2014-2015
Minnesota,19.4,109,85.3,77361,0.9,2014-2015
Mississippi,19.9,12,83.3,6123,5.3,2014-2015
California,20,208,63.9,320003,10.8,2014-2015
Arkansas,20.1,103,94.2,2072,80.5,2014-2015
Washington,20.4,158,93,107980,1,2014-2015
Texas,20.9,157,87.3,109746,2.6,2014-2015
MultiStateOperation,20.9,164,0,297803,0,2014-2015
Tennessee,21.9,82,96.3,1223,90.2,2014-2015
South Carolina,22.3,79,89.9,2061,27.2,2014-2015
Georgia,23.9,81,86.4,3977,40.7,2014-2015
Michigan,24.4,284,98.2,9594,90.2,2014-2015
Missouri,25.1,114,97.4,1823,96.4,2014-2015
Kansas,27.2,44,97.7,871,85.4,2014-2015
Montana,27.9,31,74.2,30059,5,2014-2015
Vermont,29.1,67,94,707,58.7,2014-2015
Louisiana,33.3,22,86.4,3617,12.6,2014-2015
North Carolina,34.4,301,97.7,2300,97.3,2014-2015
Alabama,34.7,31,96.8,354,97.2,2014-2015
New York,35.4,182,95,26818,13.6,2014-2015
Florida,35.8,111,87.4,27403,8.3,2014-2015
New Hampshire,36.3,59,93.2,651,65.8,2014-2015
Virginia,36.3,722,98.8,5365,98.8,2014-2015
New Jersey,36.5,112,94.6,1295,80.5,2014-2015
Oklahoma,36.5,40,90,5880,5.4,2014-2015
Kentucky,37.7,70,97.1,674,74.5,2014-2015
Wisconsin,39.6,161,94.4,21404,10.4,2014-2015
Maine,39.9,126,96,18910,4,2014-2015
Delaware,40.5,20,70,18426,0.3,2014-2015
District of Columbia,41.1,5,80,265,2.3,2014-2015
Maryland,41.4,158,93.7,10577,8.6,2014-2015
Pennsylvania,42.6,860,98.3,24766,24.5,2014-2015
New Mexico,42.9,24,95.8,1926,6.5,2014-2015
Massachusetts,42.9,195,97.4,1477,75.9,2014-2015
Iowa,47.4,47,93.6,947,68.7,2014-2015
Rhode Island,47.4,26,73.1,397,24.4,2014-2015
Connecticut,49.2,71,94.4,701,59.5,2014-2015
Ohio,50.1,345,98,3387,86.1,2014-2015
Illinois,51.9,137,97.8,1133,76,2014-2015
Arizona,52.6,10,90,1032,36,2014-2015
West Virginia,56.2,54,87,829,46.8,2014-2015
Hawaii,2.4,51,98,5350,99.9,2015-2016
Vermont,10,58,89.7,2242,47.7,2015-2016
Montana,12.1,18,38.9,39811,0.2,2015-2016
Louisiana,14,24,100,646,100,2015-2016
Arkansas,15.3,43,90.7,1216,29.1,2015-2016
Washington,18,136,94.1,28783,4,2015-2016
Wyoming,18.1,28,71.4,19395,1.7,2015-2016
Maine,18.2,112,97.3,29967,2.5,2015-2016
Nevada,19,9,77.8,2261,1.2,2015-2016
Georgia,19.4,71,93,1424,40.5,2015-2016
Alabama,20.1,47,97.9,463,97.4,2015-2016
Colorado,20.7,185,97.3,3253,27.6,2015-2016
Oregon,22.1,159,91.8,31555,22.2,2015-2016
District of Columbia,22.2,8,75,117,12.8,2015-2016
Rhode Island,23.1,24,83.3,108,75,2015-2016
Missouri,23.2,138,97.1,1033,92.3,2015-2016
Tennessee,24.9,113,97.3,1495,95.3,2015-2016
Idaho,25.2,53,67.9,91018,1.6,2015-2016
North Dakota,26.4,31,19.4,171301,0,2015-2016
South Carolina,26.4,107,97.2,1772,39.5,2015-2016
MultiStateOperation,26.4,162,0,338628,0,2015-2016
California,26.5,204,63.7,330890,6.6,2015-2016
Indiana,26.8,198,98.5,1738,98.7,2015-2016
Kentucky,26.9,81,97.5,726,97.8,2015-2016
Nebraska,27.4,18,77.8,26792,0.9,2015-2016
Oklahoma,28.6,46,97.8,4352,15.5,2015-2016
Michigan,28.6,256,98.4,4772,50,2015-2016
New Hampshire,29.5,64,92.2,307,87,2015-2016
Arizona,29.6,8,100,43,100,2015-2016
North Carolina,31.3,271,97.4,9514,21.6,2015-2016
Ohio,31.6,296,97,2933,96.6,2015-2016
Virginia,32.3,692,98.3,4019,91.8,2015-2016
New York,33.3,189,94.2,24016,12.8,2015-2016
Utah,34.7,46,84.8,9891,4.2,2015-2016
Texas,35.1,99,78.8,107590,1.3,2015-2016
Minnesota,35.4,170,90.6,25014,9.4,2015-2016
South Dakota,35.5,16,43.8,63677,0.1,2015-2016
Wisconsin,35.7,165,94.5,19808,19.9,2015-2016
Illinois,37.3,155,96.8,1212,96.2,2015-2016
New Mexico,37.4,19,84.2,199,67.8,2015-2016
Iowa,38.3,55,96.4,917,64.8,2015-2016
Connecticut,39.5,75,94.7,795,96.6,2015-2016
Maryland,40,154,94.2,14905,12.5,2015-2016
Pennsylvania,41.3,777,98.7,15198,31.9,2015-2016
Florida,41.5,61,90.2,26647,18.6,2015-2016
Delaware,43.6,24,79.2,10636,0.9,2015-2016
West Virginia,45.2,63,92.1,1270,42.8,2015-2016
Kansas,45.9,36,94.4,4000,9.9,2015-2016
New Jersey,46.6,129,90.7,8000,14.7,2015-2016
Massachusetts,48.6,153,96.1,1272,96.6,2015-2016
Mississippi,60.1,15,66.7,5124,1.6,2015-2016
Alaska,72,5,100,19,100,2015-2016
Mississippi,6.6,9,22.2,11793,0.1,2016-2017
Nevada,7.3,15,93.3,1688,5.2,2016-2017
Montana,10.6,28,60.7,38962,0.3,2016-2017
Georgia,12.8,87,88.5,25580,8.8,2016-2017
Idaho,12.8,40,87.5,51318,2.2,2016-2017
North Carolina,15.3,231,95.7,5983,27.2,2016-2017
Massachusetts,15.7,113,95.6,21497,2.3,2016-2017
Maine,16.3,85,94.1,30652,2,2016-2017
Texas,16.5,146,93.2,40602,13.3,2016-2017
West Virginia,17.1,60,95,875,85.7,2016-2017
Arkansas,17.4,39,92.3,2429,14.8,2016-2017
New Jersey,17.6,83,94,2962,23.5,2016-2017
Kentucky,17.6,53,94.3,1649,30.3,2016-2017
Wyoming,17.9,20,75,5487,1.4,2016-2017
California,18.1,184,66.3,298101,19.2,2016-2017
MultiStateOperation,18.8,139,0,261997,0,2016-2017
Wisconsin,18.8,140,95,13991,15.1,2016-2017
Florida,19,67,83.6,72665,2.5,2016-2017
Oregon,20.4,170,94.1,37559,4.8,2016-2017
Michigan,20.5,177,97.2,11816,15.9,2016-2017
North Dakota,22.1,21,23.8,117600,0,2016-2017
Minnesota,22.5,107,90.7,13893,17,2016-2017
Indiana,23,119,99.2,3881,27.9,2016-2017
Missouri,24.1,113,96.5,1086,91,2016-2017
South Dakota,24.5,13,53.9,21487,0.6,2016-2017
New York,25,169,92.3,19910,16,2016-2017
Alabama,25.2,43,97.7,473,98.3,2016-2017
Tennessee,25.3,66,100,821,100,2016-2017
Hawaii,26.2,10,100,77,100,2016-2017
Washington,28.2,113,91.2,73349,1.4,2016-2017
Ohio,31.5,284,97.9,2280,93.6,2016-2017
Louisiana,32.3,24,91.7,4679,9.4,2016-2017
South Carolina,32.8,57,94.7,2253,18.8,2016-2017
Virginia,36,444,97.1,2887,87.6,2016-2017
Colorado,36.2,131,96.2,768,93.5,2016-2017
Rhode Island,36.5,19,84.2,74,63.5,2016-2017
Vermont,37.8,52,94.2,1710,74.7,2016-2017
New Mexico,37.8,25,96,382,41.1,2016-2017
District of Columbia,38.9,25,88,101,90.1,2016-2017
Pennsylvania,39.7,754,97.8,11794,51.6,2016-2017
Kansas,39.9,24,91.7,17178,1,2016-2017
Maryland,41.6,162,92,4319,35.5,2016-2017
Oklahoma,43.6,34,97.1,2070,40.9,2016-2017
Utah,45.2,232,97.8,2763,35.1,2016-2017
Iowa,46.6,85,97.7,788,95.2,2016-2017
Illinois,54,121,97.5,2053,44.5,2016-2017
New Hampshire,54.1,59,93.2,712,43.4,2016-2017
Connecticut,54.9,44,100,391,100,2016-2017
Nebraska,56.7,22,90.9,215,90.7,2016-2017
Arizona,61.9,10,80,474,11,2016-2017
Delaware,69,46,87,411,83.9,2016-2017
Colorado,12.6,114,96.5,3285,16.1,2017-2018
Nebraska,14,14,64.3,12112,0.9,2017-2018
Arkansas,17.1,42,90.5,2627,32.3,2017-2018
Florida,18.4,57,73.7,13794,2.9,2017-2018
Kansas,19.4,29,89.7,2281,22.2,2017-2018
Indiana,20.1,139,96.4,7413,28.5,2017-2018
Missouri,20.7,85,95.3,1326,61.8,2017-2018
Wisconsin,21,156,95.5,18597,9.6,2017-2018
Washington,21.9,134,94.8,52531,2.5,2017-2018
South Dakota,22.9,14,57.1,41002,0.2,2017-2018
Oklahoma,23.4,32,93.8,364,75.2,2017-2018
South Carolina,24.4,64,90.6,1773,34.9,2017-2018
Oregon,24.8,122,96.7,19232,64.3,2017-2018
MultiStateOperation,24.9,117,0,147342,0,2017-2018
North Dakota,25.2,13,23.1,65459,0,2017-2018
California,25.3,136,66.9,136403,4.6,2017-2018
Michigan,25.4,284,95.1,20613,12.9,2017-2018
Idaho,25.9,34,88.2,11099,7.6,2017-2018
Nevada,26.1,16,93.8,157,72,2017-2018
Texas,26.6,101,87.1,35425,4.7,2017-2018
New York,27.9,154,94.8,5947,37.9,2017-2018
Georgia,30.9,150,92,6525,22.8,2017-2018
Wyoming,33.3,9,77.8,69,84.8,2017-2018
Maryland,33.6,152,92.8,3446,23.9,2017-2018
Kentucky,34.4,112,95.5,3167,48.4,2017-2018
Utah,35.3,163,98.8,747,87.1,2017-2018
Mississippi,36.8,12,83.3,9556,16.1,2017-2018
Alabama,37.9,65,95.4,1892,98.9,2017-2018
Delaware,38.7,26,92.3,719,15.9,2017-2018
New Jersey,38.8,77,94.8,685,95.1,2017-2018
Iowa,40.7,91,96.7,1212,70,2017-2018
Montana,41.2,22,90.9,6880,8.8,2017-2018
West Virginia,41.8,60,90,1580,39.1,2017-2018
North Carolina,42.2,258,98.8,2665,90.1,2017-2018
Minnesota,44,101,96,9814,40.5,2017-2018
New Mexico,44.2,18,94.4,129,95.7,2017-2018
Maine,46,78,100,593,100,2017-2018
Pennsylvania,46.7,607,98,5490,90.5,2017-2018
New Hampshire,51.2,52,98.1,668,41.5,2017-2018
Rhode Island,51.2,19,89.5,82,87.2,2017-2018
Ohio,51.9,211,98.6,2286,95.3,2017-2018
Vermont,53.3,57,94.7,877,52,2017-2018
Illinois,53.5,120,98.3,1229,98.1,2017-2018
Connecticut,54.3,49,98,560,90.6,2017-2018
District of Columbia,57.1,10,90,21,95.2,2017-2018
Massachusetts,58.8,100,97,1710,99.1,2017-2018
Virginia,59.5,551,98.9,4479,97.8,2017-2018
Louisiana,60.5,13,84.6,4866,3.3,2017-2018
Tennessee,65,80,96.3,1880,93.8,2017-2018
Arizona,71.9,6,83.3,1237,7.6,2017-2018
Indiana,11.8,122,95.9,18436,8.1,2018-2019
South Carolina,11.8,41,85.4,5311,13.8,2018-2019
Nebraska,13.6,17,76.5,11696,1.4,2018-2019
New York,14.4,134,95.5,7553,18.6,2018-2019
Florida,17.6,37,86.5,18320,27.5,2018-2019
Colorado,17.7,132,95.5,2981,20.5,2018-2019
Wisconsin,19.6,121,87.6,23000,9.6,2018-2019
Alabama,21.9,75,98.7,2140,94.9,2018-2019
Vermont,22.2,49,98,1497,97.7,2018-2019
Oklahoma,23.2,72,93.1,5728,10.6,2018-2019
North Carolina,24.1,201,99,1937,93.7,2018-2019
Maryland,24.9,193,95.8,2981,30.4,2018-2019
North Dakota,25.4,19,10.5,125725,0,2018-2019
Massachusetts,25.6,100,99,1655,99.9,2018-2019
Arkansas,26.4,47,97.9,492,96.2,2018-2019
Ohio,27.1,186,98.9,1711,98.9,2018-2019
Missouri,27.4,91,92.3,638,89.2,2018-2019
Kentucky,27.9,95,99,1041,99.5,2018-2019
Rhode Island,29.2,16,100,65,100,2018-2019
Michigan,29.4,223,96,23533,9.4,2018-2019
Oregon,29.6,112,91.1,63236,2.2,2018-2019
Georgia,29.6,90,94.4,8065,12.4,2018-2019
Washington,30.2,134,93.3,48685,3.3,2018-2019
MultiStateOperation,30.4,120,0,264848,0,2018-2019
California,30.8,144,56.9,276535,8.9,2018-2019
West Virginia,32,41,100,390,100,2018-2019
Idaho,32.3,32,65.6,77250,1.6,2018-2019
