Year,Period,Week Ending,State,State ANSI,Watershed,CV (%),ADDED & REPLACED,"INVENTORY, MAX","LOSS, COLONY COLLAPSE DISORDER","LOSS, DEADOUT",INVENTORY
2017,JAN THRU MAR,NA,NEBRASKA,31,NA,NA,120,13000,1700,750,NA
2017,JAN THRU MAR,NA,NEW JERSEY,34,NA,NA,10,6500,60,490,NA
2017,JAN THRU MAR,NA,NEW MEXICO,35,NA,NA,3600,5500,590,2100,NA
2017,JAN THRU MAR,NA,NEW YORK,36,NA,NA,520,33000,1500,6000,NA
2017,JAN THRU MAR,NA,NORTH CAROLINA,37,NA,NA,3700,23000,780,2500,NA
2017,JAN THRU MAR,NA,NORTH DAKOTA,38,NA,NA,1100,123000,4500,640,NA
2017,JAN THRU MAR,NA,OHIO,39,NA,NA,1300,17500,960,4400,NA
2017,JAN THRU MAR,NA,OKLAHOMA,40,NA,NA,9500,26000,420,550,NA
2017,JAN THRU MAR,NA,OREGON,41,NA,NA,7500,90000,1000,8000,NA
2017,JAN THRU MAR,NA,PENNSYLVANIA,42,NA,NA,810,18000,100,4200,NA
2017,JAN THRU MAR,NA,SOUTH CAROLINA,45,NA,NA,4700,17500,350,1600,NA
2017,JAN THRU MAR,NA,SOUTH DAKOTA,46,NA,NA,1500,48000,5000,2700,NA
2017,JAN THRU MAR,NA,TENNESSEE,47,NA,NA,1500,8500,380,1600,NA
2017,JAN THRU MAR,NA,TEXAS,48,NA,NA,148000,330000,6500,35000,NA
2017,JAN THRU MAR,NA,UTAH,49,NA,NA,2900,18500,600,2700,NA
2017,JAN THRU MAR,NA,VERMONT,50,NA,NA,0,6500,0,440,NA
2017,JAN THRU MAR,NA,VIRGINIA,51,NA,NA,1900,8000,120,1400,NA
2017,JAN THRU MAR,NA,WASHINGTON,53,NA,NA,8500,104000,150,9000,NA
2017,JAN THRU MAR,NA,WEST VIRGINIA,54,NA,NA,450,8000,70,800,NA
2017,JAN THRU MAR,NA,WISCONSIN,55,NA,NA,450,22000,2300,4400,NA
2017,JAN THRU MAR,NA,WYOMING,56,NA,NA,1300,17000,780,3600,NA
2017,APR THRU JUN,NA,ALABAMA,1,NA,NA,1200,6500,20,440,NA
2017,APR THRU JUN,NA,ARIZONA,4,NA,NA,12500,22000,560,2600,NA
2017,APR THRU JUN,NA,ARKANSAS,5,NA,NA,5000,17000,140,1900,NA
2017,APR THRU JUN,NA,CALIFORNIA,6,NA,NA,210000,1180000,4600,82000,NA
2017,APR THRU JUN,NA,COLORADO,8,NA,NA,5500,29000,220,3500,NA
2017,APR THRU JUN,NA,CONNECTICUT,9,NA,NA,2200,3000,NA,140,NA
2017,APR THRU JUN,NA,FLORIDA,12,NA,NA,40000,250000,6500,25000,NA
2017,APR THRU JUN,NA,GEORGIA,13,NA,NA,21000,142000,1700,10500,NA
2017,APR THRU JUN,NA,HAWAII,15,NA,NA,520,12000,0,60,NA
2017,APR THRU JUN,NA,IDAHO,16,NA,NA,24000,78000,1700,9500,NA
2017,APR THRU JUN,NA,ILLINOIS,17,NA,NA,3600,12500,150,1200,NA
2017,APR THRU JUN,NA,INDIANA,18,NA,NA,3000,11000,90,1200,NA
2017,APR THRU JUN,NA,IOWA,19,NA,NA,24000,23000,520,2000,NA
2017,APR THRU JUN,NA,KANSAS,20,NA,NA,2500,4900,80,380,NA
2017,APR THRU JUN,NA,KENTUCKY,21,NA,NA,2900,7000,140,560,NA
2017,APR THRU JUN,NA,LOUISIANA,22,NA,NA,4600,56000,50,2600,NA
2017,APR THRU JUN,NA,MAINE,23,NA,NA,790,40000,10,910,NA
2017,APR THRU JUN,NA,MARYLAND,24,NA,NA,3200,9500,20,190,NA
2017,APR THRU JUN,NA,MASSACHUSETTS,25,NA,NA,1900,8000,0,130,NA
2017,APR THRU JUN,NA,MICHIGAN,26,NA,NA,22000,79000,60,4600,NA
2017,APR THRU JUN,NA,MINNESOTA,27,NA,NA,18500,128000,1200,5000,NA
2017,APR THRU JUN,NA,MISSISSIPPI,28,NA,NA,5500,89000,20,3800,NA
2017,APR THRU JUN,NA,MISSOURI,29,NA,NA,1700,7500,60,260,NA
2017,APR THRU JUN,NA,MONTANA,30,NA,NA,15000,134000,1400,3800,NA
2017,APR THRU JUN,NA,NEBRASKA,31,NA,NA,6000,63000,180,640,NA
2017,APR THRU JUN,NA,NEW JERSEY,34,NA,NA,1600,21000,NA,430,NA
2017,APR THRU JUN,NA,NEW MEXICO,35,NA,NA,2300,7500,990,1700,NA
2017,APR THRU JUN,NA,NEW YORK,36,NA,NA,16000,41000,480,1300,NA
2017,APR THRU JUN,NA,NORTH CAROLINA,37,NA,NA,3900,25000,600,1600,NA
2017,APR THRU JUN,NA,NORTH DAKOTA,38,NA,NA,19500,385000,1800,10500,NA
2017,APR THRU JUN,NA,OHIO,39,NA,NA,8000,14500,470,1100,NA
2017,APR THRU JUN,NA,OKLAHOMA,40,NA,NA,6500,25000,120,200,NA
2017,APR THRU JUN,NA,OREGON,41,NA,NA,18000,108000,1500,5000,NA
2017,APR THRU JUN,NA,PENNSYLVANIA,42,NA,NA,7000,16500,40,510,NA
2017,APR THRU JUN,NA,SOUTH CAROLINA,45,NA,NA,1900,20000,140,870,NA
2017,APR THRU JUN,NA,SOUTH DAKOTA,46,NA,NA,10000,152000,390,6000,NA
2017,APR THRU JUN,NA,TENNESSEE,47,NA,NA,2600,9000,250,1100,NA
2017,APR THRU JUN,NA,TEXAS,48,NA,NA,43000,345000,170,18000,NA
2017,APR THRU JUN,NA,UTAH,49,NA,NA,14500,35000,2500,2300,NA
2017,APR THRU JUN,NA,VERMONT,50,NA,NA,390,8000,20,170,NA
2017,APR THRU JUN,NA,VIRGINIA,51,NA,NA,3100,9000,50,1000,NA
2017,APR THRU JUN,NA,WASHINGTON,53,NA,NA,36000,132000,1300,6500,NA
2017,APR THRU JUN,NA,WEST VIRGINIA,54,NA,NA,3400,7500,20,340,NA
2017,APR THRU JUN,NA,WISCONSIN,55,NA,NA,13000,65000,2400,2900,NA
2017,APR THRU JUN,NA,WYOMING,56,NA,NA,4800,30000,480,1100,NA
2016,JAN THRU MAR,NA,ALABAMA,1,NA,NA,2100,7500,480,1700,NA
2016,JAN THRU MAR,NA,ARIZONA,4,NA,NA,3500,30000,1100,4700,NA
2016,JAN THRU MAR,NA,ARKANSAS,5,NA,NA,5000,27000,4600,5000,NA
2016,JAN THRU MAR,NA,CALIFORNIA,6,NA,NA,210000,1410000,22000,200000,NA
2016,JAN THRU MAR,NA,COLORADO,8,NA,NA,1700,8500,320,750,NA
2016,JAN THRU MAR,NA,CONNECTICUT,9,NA,NA,70,2700,30,270,NA
2016,JAN THRU MAR,NA,FLORIDA,12,NA,NA,49000,295000,4300,40000,NA
2016,JAN THRU MAR,NA,GEORGIA,13,NA,NA,36000,100000,1600,15500,NA
2016,JAN THRU MAR,NA,HAWAII,15,NA,NA,570,15000,20,280,NA
2016,JAN THRU MAR,NA,IDAHO,16,NA,NA,5500,98000,1100,8500,NA
2016,JAN THRU MAR,NA,ILLINOIS,17,NA,NA,860,9500,640,1400,NA
2016,JAN THRU MAR,NA,INDIANA,18,NA,NA,30,6500,100,770,NA
2016,JAN THRU MAR,NA,IOWA,19,NA,NA,90,13000,720,2900,NA
2016,JAN THRU MAR,NA,KANSAS,20,NA,NA,1400,5000,80,1100,NA
2016,JAN THRU MAR,NA,KENTUCKY,21,NA,NA,390,6500,160,1300,NA
2016,JAN THRU MAR,NA,LOUISIANA,22,NA,NA,9500,55000,350,11000,NA
2016,JAN THRU MAR,NA,MAINE,23,NA,NA,0,3700,50,170,NA
2016,JAN THRU MAR,NA,MARYLAND,24,NA,NA,1200,7500,20,820,NA
2016,JAN THRU MAR,NA,MASSACHUSETTS,25,NA,NA,1200,3000,10,370,NA
2016,JAN THRU MAR,NA,MICHIGAN,26,NA,NA,2300,42000,3600,5000,NA
2016,JAN THRU MAR,NA,MINNESOTA,27,NA,NA,6000,38000,11000,5500,NA
2016,JAN THRU MAR,NA,MISSISSIPPI,28,NA,NA,48000,50000,260,7500,NA
2016,JAN THRU MAR,NA,MISSOURI,29,NA,NA,5500,10000,210,1300,NA
2016,JAN THRU MAR,NA,MONTANA,30,NA,NA,24000,65000,3300,900,NA
2016,JAN THRU MAR,NA,NEBRASKA,31,NA,NA,510,20000,420,720,NA
2016,JAN THRU MAR,NA,NEW JERSEY,34,NA,NA,80,6000,240,1000,NA
2016,JAN THRU MAR,NA,NEW MEXICO,35,NA,NA,1400,6500,110,1700,NA
2016,JAN THRU MAR,NA,NEW YORK,36,NA,NA,970,33000,470,4200,NA
2016,JAN THRU MAR,NA,NORTH CAROLINA,37,NA,NA,1100,24000,680,2600,NA
2016,JAN THRU MAR,NA,NORTH DAKOTA,38,NA,NA,4600,137000,22000,8500,NA
2016,JAN THRU MAR,NA,OHIO,39,NA,NA,760,16500,360,2900,NA
2016,JAN THRU MAR,NA,OKLAHOMA,40,NA,NA,4800,13500,210,3300,NA
2016,JAN THRU MAR,NA,OREGON,41,NA,NA,3800,92000,960,2900,NA
2016,JAN THRU MAR,NA,PENNSYLVANIA,42,NA,NA,480,12500,320,2900,NA
2016,JAN THRU MAR,NA,SOUTH CAROLINA,45,NA,NA,3200,16500,1300,3500,NA
2016,JAN THRU MAR,NA,SOUTH DAKOTA,46,NA,NA,1600,79000,23000,10500,NA
2016,JAN THRU MAR,NA,TENNESSEE,47,NA,NA,180,9000,270,1700,NA
2016,JAN THRU MAR,NA,TEXAS,48,NA,NA,126000,320000,1100,30000,NA
2016,JAN THRU MAR,NA,UTAH,49,NA,NA,1400,14500,750,1900,NA
2016,JAN THRU MAR,NA,VERMONT,50,NA,NA,0,5500,30,410,NA
2016,JAN THRU MAR,NA,VIRGINIA,51,NA,NA,560,6500,190,1100,NA
2016,JAN THRU MAR,NA,WASHINGTON,53,NA,NA,5500,146000,5000,13500,NA
2016,JAN THRU MAR,NA,WEST VIRGINIA,54,NA,NA,0,8000,260,1700,NA
2016,JAN THRU MAR,NA,WISCONSIN,55,NA,NA,530,21000,920,3100,NA
2016,JAN THRU MAR,NA,WYOMING,56,NA,NA,440,6500,760,340,NA
2016,APR THRU JUN,NA,ALABAMA,1,NA,NA,1200,8000,130,930,NA
2016,APR THRU JUN,NA,ARIZONA,4,NA,NA,14000,23000,860,3700,NA
2016,APR THRU JUN,NA,ARKANSAS,5,NA,NA,12000,24000,430,3400,NA
2016,APR THRU JUN,NA,CALIFORNIA,6,NA,NA,240000,1150000,12500,108000,NA
2016,APR THRU JUN,NA,COLORADO,8,NA,NA,9000,29000,280,1800,NA
2016,APR THRU JUN,NA,CONNECTICUT,9,NA,NA,390,2500,0,100,NA
2016,APR THRU JUN,NA,FLORIDA,12,NA,NA,43000,240000,4100,29000,NA
2016,APR THRU JUN,NA,GEORGIA,13,NA,NA,17500,111000,1600,11000,NA
2016,APR THRU JUN,NA,HAWAII,15,NA,NA,870,13500,100,830,NA
2016,APR THRU JUN,NA,IDAHO,16,NA,NA,19000,80000,1600,6000,NA
2016,APR THRU JUN,NA,ILLINOIS,17,NA,NA,2200,9000,150,740,NA
2016,APR THRU JUN,NA,INDIANA,18,NA,NA,2700,7000,50,220,NA
2016,APR THRU JUN,NA,IOWA,19,NA,NA,26000,26000,560,2400,NA
2016,APR THRU JUN,NA,KANSAS,20,NA,NA,3000,6000,100,960,NA
2016,APR THRU JUN,NA,KENTUCKY,21,NA,NA,2100,6000,90,450,NA
2016,APR THRU JUN,NA,LOUISIANA,22,NA,NA,10000,53000,110,4300,NA
2016,APR THRU JUN,NA,MAINE,23,NA,NA,510,25000,0,4200,NA
2016,APR THRU JUN,NA,MARYLAND,24,NA,NA,2800,9000,10,320,NA
2016,APR THRU JUN,NA,MASSACHUSETTS,25,NA,NA,1100,8500,10,300,NA
2016,APR THRU JUN,NA,MICHIGAN,26,NA,NA,13500,103000,1000,7500,NA
2016,APR THRU JUN,NA,MINNESOTA,27,NA,NA,24000,126000,2900,13000,NA
2016,APR THRU JUN,NA,MISSISSIPPI,28,NA,NA,9000,90000,240,3700,NA
2016,APR THRU JUN,NA,MISSOURI,29,NA,NA,1800,12500,20,770,NA
2016,APR THRU JUN,NA,MONTANA,30,NA,NA,25000,157000,580,7000,NA
2016,APR THRU JUN,NA,NEBRASKA,31,NA,NA,8000,43000,700,6000,NA
2016,APR THRU JUN,NA,NEW JERSEY,34,NA,NA,1900,18000,10,1500,NA
2016,APR THRU JUN,NA,NEW MEXICO,35,NA,NA,2700,6500,0,1400,NA
2016,APR THRU JUN,NA,NEW YORK,36,NA,NA,13500,46000,970,4000,NA
2016,APR THRU JUN,NA,NORTH CAROLINA,37,NA,NA,10000,24000,590,1600,NA
2016,APR THRU JUN,NA,NORTH DAKOTA,38,NA,NA,23000,530000,10000,27000,NA
2016,APR THRU JUN,NA,OHIO,39,NA,NA,6000,16500,340,1700,NA
2016,APR THRU JUN,NA,OKLAHOMA,40,NA,NA,4000,13000,60,310,NA
2016,APR THRU JUN,NA,OREGON,41,NA,NA,19000,132000,100,4300,NA
2016,APR THRU JUN,NA,PENNSYLVANIA,42,NA,NA,6500,14000,70,1300,NA
2016,APR THRU JUN,NA,SOUTH CAROLINA,45,NA,NA,2200,13500,50,1300,NA
2016,APR THRU JUN,NA,SOUTH DAKOTA,46,NA,NA,15000,182000,1500,11000,NA
2016,APR THRU JUN,NA,TENNESSEE,47,NA,NA,3900,8000,170,580,NA
2016,APR THRU JUN,NA,TEXAS,48,NA,NA,74000,350000,620,36000,NA
2016,APR THRU JUN,NA,UTAH,49,NA,NA,12000,25000,1900,4800,NA
2016,APR THRU JUN,NA,VERMONT,50,NA,NA,480,6500,0,20,NA
2016,APR THRU JUN,NA,VIRGINIA,51,NA,NA,2200,6500,20,230,NA
2016,APR THRU JUN,NA,WASHINGTON,53,NA,NA,21000,143000,30,6000,NA
2016,APR THRU JUN,NA,WEST VIRGINIA,54,NA,NA,2600,7000,130,990,NA
2016,APR THRU JUN,NA,WISCONSIN,55,NA,NA,17500,78000,2100,5500,NA
2016,APR THRU JUN,NA,WYOMING,56,NA,NA,7500,27000,200,2600,NA
2016,JUL THRU SEP,NA,ALABAMA,1,NA,NA,440,8000,400,1200,NA
2016,JUL THRU SEP,NA,ARIZONA,4,NA,NA,3200,32000,3400,6000,NA
2016,JUL THRU SEP,NA,ARKANSAS,5,NA,NA,270,32000,60,1500,NA
2016,JUL THRU SEP,NA,CALIFORNIA,6,NA,NA,33000,820000,35000,82000,NA
2016,JUL THRU SEP,NA,COLORADO,8,NA,NA,1100,37000,1700,6500,NA
2016,JUL THRU SEP,NA,CONNECTICUT,9,NA,NA,890,3100,20,270,NA
2016,JUL THRU SEP,NA,FLORIDA,12,NA,NA,62000,220000,5500,25000,NA
2016,JUL THRU SEP,NA,GEORGIA,13,NA,NA,12500,103000,4400,13000,NA
2016,JUL THRU SEP,NA,HAWAII,15,NA,NA,430,13500,40,600,NA
2016,JUL THRU SEP,NA,IDAHO,16,NA,NA,1900,131000,2500,13000,NA
2016,JUL THRU SEP,NA,ILLINOIS,17,NA,NA,850,11000,180,1300,NA
2016,JUL THRU SEP,NA,INDIANA,18,NA,NA,450,9500,100,600,NA
2016,JUL THRU SEP,NA,IOWA,19,NA,NA,10500,50000,3000,5500,NA
2016,JUL THRU SEP,NA,KANSAS,20,NA,NA,310,8000,890,2600,NA
2016,JUL THRU SEP,NA,KENTUCKY,21,NA,NA,900,7500,390,1000,NA
2016,JUL THRU SEP,NA,LOUISIANA,22,NA,NA,2600,60000,310,7000,NA
2016,JUL THRU SEP,NA,MAINE,23,NA,NA,240,5500,10,420,NA
2016,JUL THRU SEP,NA,MARYLAND,24,NA,NA,400,7000,20,200,NA
2016,JUL THRU SEP,NA,MASSACHUSETTS,25,NA,NA,450,9500,30,530,NA
2016,JUL THRU SEP,NA,MICHIGAN,26,NA,NA,11000,108000,1300,15000,NA
2016,JUL THRU SEP,NA,MINNESOTA,27,NA,NA,1300,138000,8000,26000,NA
2016,JUL THRU SEP,NA,MISSISSIPPI,28,NA,NA,750,20000,310,3300,NA
2016,JUL THRU SEP,NA,MISSOURI,29,NA,NA,480,13500,130,650,NA
2016,JUL THRU SEP,NA,MONTANA,30,NA,NA,4100,158000,210,11500,NA
2016,JUL THRU SEP,NA,NEBRASKA,31,NA,NA,390,47000,300,8500,NA
2016,JUL THRU SEP,NA,NEW JERSEY,34,NA,NA,120,18000,20,270,NA
2016,JUL THRU SEP,NA,NEW MEXICO,35,NA,NA,2000,6500,820,1100,NA
2016,JUL THRU SEP,NA,NEW YORK,36,NA,NA,1900,56000,570,10000,NA
2016,JUL THRU SEP,NA,NORTH CAROLINA,37,NA,NA,1400,25000,440,1400,NA
2016,JUL THRU SEP,NA,NORTH DAKOTA,38,NA,NA,25000,550000,10000,71000,NA
2016,JUL THRU SEP,NA,OHIO,39,NA,NA,980,21000,250,1600,NA
2016,JUL THRU SEP,NA,OKLAHOMA,40,NA,NA,30,3700,700,560,NA
2016,JUL THRU SEP,NA,OREGON,41,NA,NA,2900,112000,860,7500,NA
2016,JUL THRU SEP,NA,PENNSYLVANIA,42,NA,NA,680,22000,570,1300,NA
2016,JUL THRU SEP,NA,SOUTH CAROLINA,45,NA,NA,990,13500,140,920,NA
2016,JUL THRU SEP,NA,SOUTH DAKOTA,46,NA,NA,4200,191000,1100,25000,NA
2016,JUL THRU SEP,NA,TENNESSEE,47,NA,NA,340,10000,100,950,NA
2016,JUL THRU SEP,NA,TEXAS,48,NA,NA,12500,143000,3000,12000,NA
2016,JUL THRU SEP,NA,UTAH,49,NA,NA,1200,33000,260,3200,NA
2016,JUL THRU SEP,NA,VERMONT,50,NA,NA,170,6500,40,400,NA
2016,JUL THRU SEP,NA,VIRGINIA,51,NA,NA,460,8000,130,810,NA
2016,JUL THRU SEP,NA,WASHINGTON,53,NA,NA,7500,74000,2400,5000,NA
2016,JUL THRU SEP,NA,WEST VIRGINIA,54,NA,NA,130,7500,0,190,NA
2016,JUL THRU SEP,NA,WISCONSIN,55,NA,NA,880,75000,2800,12000,NA
2016,JUL THRU SEP,NA,WYOMING,56,NA,NA,1800,40000,180,7000,NA
2016,OCT THRU DEC,NA,ALABAMA,1,NA,NA,50,7000,100,610,NA
2016,OCT THRU DEC,NA,ARIZONA,4,NA,NA,4600,31000,2100,6500,NA
2016,OCT THRU DEC,NA,ARKANSAS,5,NA,NA,20,28000,750,2500,NA
2016,OCT THRU DEC,NA,CALIFORNIA,6,NA,NA,40000,1330000,75000,205000,NA
2016,OCT THRU DEC,NA,COLORADO,8,NA,NA,2500,30000,240,4500,NA
2016,OCT THRU DEC,NA,CONNECTICUT,9,NA,NA,0,3100,10,240,NA
2016,OCT THRU DEC,NA,FLORIDA,12,NA,NA,31000,300000,6000,41000,NA
2016,OCT THRU DEC,NA,GEORGIA,13,NA,NA,12000,112000,5500,11000,NA
2016,OCT THRU DEC,NA,HAWAII,15,NA,NA,60,13500,0,970,NA
2016,OCT THRU DEC,NA,IDAHO,16,NA,NA,5000,143000,700,15500,NA
2016,OCT THRU DEC,NA,ILLINOIS,17,NA,NA,0,9000,210,720,NA
2016,OCT THRU DEC,NA,INDIANA,18,NA,NA,20,7500,90,1200,NA
2016,OCT THRU DEC,NA,IOWA,19,NA,NA,0,54000,1900,4700,NA
2016,OCT THRU DEC,NA,KANSAS,20,NA,NA,200,5000,210,1300,NA
2016,OCT THRU DEC,NA,KENTUCKY,21,NA,NA,60,7500,170,950,NA
2016,OCT THRU DEC,NA,LOUISIANA,22,NA,NA,250,57000,160,2000,NA
2016,OCT THRU DEC,NA,MAINE,23,NA,NA,0,3500,0,280,NA
2016,OCT THRU DEC,NA,MARYLAND,24,NA,NA,20,9500,20,500,NA
2016,OCT THRU DEC,NA,MASSACHUSETTS,25,NA,NA,0,8000,10,740,NA
2016,OCT THRU DEC,NA,MICHIGAN,26,NA,NA,10,101000,3400,12500,NA
2016,OCT THRU DEC,NA,MINNESOTA,27,NA,NA,0,114000,5500,13500,NA
2016,OCT THRU DEC,NA,MISSISSIPPI,28,NA,NA,330,30000,740,2400,NA
2016,OCT THRU DEC,NA,MISSOURI,29,NA,NA,1400,9000,40,590,NA
2016,OCT THRU DEC,NA,MONTANA,30,NA,NA,2700,124000,630,16000,NA
2016,OCT THRU DEC,NA,NEBRASKA,31,NA,NA,190,37000,50,4300,NA
2016,OCT THRU DEC,NA,NEW JERSEY,34,NA,NA,400,12000,40,340,NA
2016,OCT THRU DEC,NA,NEW MEXICO,35,NA,NA,1100,7000,260,1600,NA
2016,OCT THRU DEC,NA,NEW YORK,36,NA,NA,240,49000,300,9000,NA
2016,OCT THRU DEC,NA,NORTH CAROLINA,37,NA,NA,220,25000,40,5500,NA
2016,OCT THRU DEC,NA,NORTH DAKOTA,38,NA,NA,13500,390000,5000,44000,NA
2016,OCT THRU DEC,NA,OHIO,39,NA,NA,20,19500,570,2100,NA
2016,OCT THRU DEC,NA,OKLAHOMA,40,NA,NA,120,44000,640,2700,NA
2016,OCT THRU DEC,NA,OREGON,41,NA,NA,1500,124000,1300,9500,NA
2016,OCT THRU DEC,NA,PENNSYLVANIA,42,NA,NA,120,21000,200,3100,NA
2016,OCT THRU DEC,NA,SOUTH CAROLINA,45,NA,NA,760,17000,320,1300,NA
2016,OCT THRU DEC,NA,SOUTH DAKOTA,46,NA,NA,0,146000,5000,11000,NA
2016,OCT THRU DEC,NA,TENNESSEE,47,NA,NA,120,9000,70,840,NA
2016,OCT THRU DEC,NA,TEXAS,48,NA,NA,2200,310000,1500,39000,NA
2016,OCT THRU DEC,NA,UTAH,49,NA,NA,440,30000,650,1600,NA
2016,OCT THRU DEC,NA,VERMONT,50,NA,NA,20,6500,10,260,NA
2016,OCT THRU DEC,NA,VIRGINIA,51,NA,NA,230,7000,240,730,NA
2016,OCT THRU DEC,NA,WASHINGTON,53,NA,NA,3100,97000,3600,9000,NA
2016,OCT THRU DEC,NA,WEST VIRGINIA,54,NA,NA,80,7500,340,1000,NA
2016,OCT THRU DEC,NA,WISCONSIN,55,NA,NA,10,59000,2600,7500,NA
2016,OCT THRU DEC,NA,WYOMING,56,NA,NA,50,27000,470,2200,NA
2015,JAN THRU MAR,NA,ALABAMA,1,NA,NA,2800,7000,NA,1800,NA
2015,JAN THRU MAR,NA,ARIZONA,4,NA,NA,3400,35000,NA,4600,NA
2015,JAN THRU MAR,NA,ARKANSAS,5,NA,NA,1200,14000,NA,1500,NA
2015,JAN THRU MAR,NA,CALIFORNIA,6,NA,NA,250000,1690000,NA,255000,NA
2015,JAN THRU MAR,NA,COLORADO,8,NA,NA,200,12500,NA,1500,NA
2015,JAN THRU MAR,NA,CONNECTICUT,9,NA,NA,290,3900,NA,870,NA
2015,JAN THRU MAR,NA,FLORIDA,12,NA,NA,54000,315000,NA,42000,NA
2015,JAN THRU MAR,NA,GEORGIA,13,NA,NA,47000,105000,NA,14500,NA
2015,JAN THRU MAR,NA,HAWAII,15,NA,NA,3400,10500,NA,380,NA
2015,JAN THRU MAR,NA,IDAHO,16,NA,NA,2600,88000,NA,3700,NA
2015,JAN THRU MAR,NA,ILLINOIS,17,NA,NA,2300,10500,NA,4200,NA
2015,JAN THRU MAR,NA,INDIANA,18,NA,NA,490,9500,NA,2100,NA
2015,JAN THRU MAR,NA,IOWA,19,NA,NA,1700,17500,NA,3100,NA
2015,JAN THRU MAR,NA,KANSAS,20,NA,NA,450,7000,NA,1600,NA
2015,JAN THRU MAR,NA,KENTUCKY,21,NA,NA,250,10500,NA,4100,NA
2015,JAN THRU MAR,NA,LOUISIANA,22,NA,NA,3100,51000,NA,8000,NA
2015,JAN THRU MAR,NA,MAINE,23,NA,NA,20,6500,NA,380,NA
2015,JAN THRU MAR,NA,MARYLAND,24,NA,NA,1600,10000,NA,4100,NA
2015,JAN THRU MAR,NA,MASSACHUSETTS,25,NA,NA,260,4600,NA,1000,NA
2015,JAN THRU MAR,NA,MICHIGAN,26,NA,NA,7500,60000,NA,11500,NA
2015,JAN THRU MAR,NA,MINNESOTA,27,NA,NA,690,74000,NA,3700,NA
2015,JAN THRU MAR,NA,MISSISSIPPI,28,NA,NA,22000,76000,NA,8500,NA
2015,JAN THRU MAR,NA,MISSOURI,29,NA,NA,220,13000,NA,2000,NA
2015,JAN THRU MAR,NA,MONTANA,30,NA,NA,1400,36000,NA,2200,NA
2015,JAN THRU MAR,NA,NEBRASKA,31,NA,NA,120,31000,NA,2600,NA
2015,JAN THRU MAR,NA,NEW JERSEY,34,NA,NA,570,9000,NA,1100,NA
2015,JAN THRU MAR,NA,NEW MEXICO,35,NA,NA,190,7000,NA,690,NA
2015,JAN THRU MAR,NA,NEW YORK,36,NA,NA,430,30000,NA,6500,NA
2015,JAN THRU MAR,NA,NORTH CAROLINA,37,NA,NA,6000,26000,NA,7000,NA
2015,JAN THRU MAR,NA,NORTH DAKOTA,38,NA,NA,1800,120000,NA,620,NA
2015,JAN THRU MAR,NA,OHIO,39,NA,NA,5000,22000,NA,10500,NA
2015,JAN THRU MAR,NA,OKLAHOMA,40,NA,NA,2600,26000,NA,6000,NA
2015,JAN THRU MAR,NA,OREGON,41,NA,NA,4300,87000,NA,6500,NA
2015,JAN THRU MAR,NA,PENNSYLVANIA,42,NA,NA,360,21000,NA,6500,NA
2015,JAN THRU MAR,NA,SOUTH CAROLINA,45,NA,NA,2700,17500,NA,2700,NA
